 #mass            theta           
   0.00000030000   0.00100000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   4.024800E-001   3.096000E-003   1.455866E-013   1.552970E-010   1.552970E-010   3.814502E-007
   4.087200E-001   3.120000E-003   1.455859E-013   1.552964E-010   1.552964E-010   3.814485E-007
   4.150080E-001   3.144000E-003   1.455853E-013   1.552957E-010   1.552957E-010   3.814468E-007
   4.213440E-001   3.168000E-003   1.455847E-013   1.552950E-010   1.552950E-010   3.814452E-007
   4.277280E-001   3.192000E-003   1.455840E-013   1.552943E-010   1.552943E-010   3.814435E-007
   4.341600E-001   3.216000E-003   1.455834E-013   1.552936E-010   1.552936E-010   3.814418E-007
   4.406400E-001   3.240000E-003   1.455827E-013   1.552930E-010   1.552930E-010   3.814401E-007
   4.471680E-001   3.264000E-003   1.455821E-013   1.552923E-010   1.552923E-010   3.814385E-007
   4.537440E-001   3.288000E-003   1.455815E-013   1.552916E-010   1.552916E-010   3.814368E-007
   4.603680E-001   3.312000E-003   1.455808E-013   1.552909E-010   1.552909E-010   3.814351E-007
   4.670400E-001   3.336000E-003   1.455802E-013   1.552902E-010   1.552902E-010   3.814335E-007
   4.737600E-001   3.360000E-003   1.455795E-013   1.552896E-010   1.552896E-010   3.814318E-007
   4.805280E-001   3.384000E-003   1.455789E-013   1.552889E-010   1.552889E-010   3.814301E-007
   4.873440E-001   3.408000E-003   1.455783E-013   1.552882E-010   1.552882E-010   3.814284E-007
   4.942080E-001   3.432000E-003   1.455776E-013   1.552875E-010   1.552875E-010   3.814268E-007
   5.011200E-001   3.456000E-003   1.455770E-013   1.552868E-010   1.552868E-010   3.814251E-007
   5.080800E-001   3.480000E-003   1.455764E-013   1.552861E-010   1.552861E-010   3.814234E-007
   5.150880E-001   3.504000E-003   1.455757E-013   1.552855E-010   1.552855E-010   3.814217E-007
   5.221440E-001   3.528000E-003   1.455751E-013   1.552848E-010   1.552848E-010   3.814201E-007
   5.292480E-001   3.552000E-003   1.455744E-013   1.552841E-010   1.552841E-010   3.814184E-007
   5.364000E-001   3.576000E-003   1.455738E-013   1.552834E-010   1.552834E-010   3.814167E-007
   5.436000E-001   3.600000E-003   1.455732E-013   1.552827E-010   1.552827E-010   3.814151E-007
   5.508480E-001   3.624000E-003   1.455725E-013   1.552821E-010   1.552821E-010   3.814134E-007
   5.581440E-001   3.648000E-003   1.455719E-013   1.552814E-010   1.552814E-010   3.814117E-007
   5.654880E-001   3.672000E-003   1.455712E-013   1.552807E-010   1.552807E-010   3.814100E-007
   5.728800E-001   3.696000E-003   1.455706E-013   1.552800E-010   1.552800E-010   3.814084E-007
   5.803200E-001   3.720000E-003   1.455700E-013   1.552793E-010   1.552793E-010   3.814067E-007
   5.878080E-001   3.744000E-003   1.455693E-013   1.552787E-010   1.552787E-010   3.814050E-007
   5.953440E-001   3.768000E-003   1.455687E-013   1.552780E-010   1.552780E-010   3.814033E-007
   6.029280E-001   3.792000E-003   1.455681E-013   1.552773E-010   1.552773E-010   3.814017E-007
   6.105600E-001   3.816000E-003   1.455674E-013   1.552766E-010   1.552766E-010   3.814000E-007
   6.182400E-001   3.840000E-003   1.455668E-013   1.552759E-010   1.552759E-010   3.813983E-007
   6.259680E-001   3.864000E-003   1.455661E-013   1.552752E-010   1.552752E-010   3.813967E-007
   6.337440E-001   3.888000E-003   1.455655E-013   1.552746E-010   1.552746E-010   3.813950E-007
   6.415680E-001   3.912000E-003   1.455649E-013   1.552739E-010   1.552739E-010   3.813933E-007
   6.494400E-001   3.936000E-003   1.455642E-013   1.552732E-010   1.552732E-010   3.813916E-007
   6.573600E-001   3.960000E-003   1.455636E-013   1.552725E-010   1.552725E-010   3.813900E-007
   6.653280E-001   3.984000E-003   1.455629E-013   1.552718E-010   1.552718E-010   3.813883E-007
   6.733440E-001   4.008000E-003   1.455623E-013   1.552712E-010   1.552712E-010   3.813866E-007
   6.814080E-001   4.032000E-003   1.455617E-013   1.552705E-010   1.552705E-010   3.813849E-007
   6.895200E-001   4.056000E-003   1.455610E-013   1.552698E-010   1.552698E-010   3.813833E-007
   6.976800E-001   4.080000E-003   1.455604E-013   1.552691E-010   1.552691E-010   3.813816E-007
   7.058880E-001   4.104000E-003   1.455598E-013   1.552684E-010   1.552684E-010   3.813799E-007
   7.141440E-001   4.128000E-003   1.455591E-013   1.552678E-010   1.552678E-010   3.813783E-007
   7.224480E-001   4.152000E-003   1.455585E-013   1.552671E-010   1.552671E-010   3.813766E-007
   7.308000E-001   4.176000E-003   1.455578E-013   1.552664E-010   1.552664E-010   3.813749E-007
   7.392000E-001   4.200000E-003   1.455572E-013   1.552657E-010   1.552657E-010   3.813732E-007
   7.476480E-001   4.224000E-003   1.455566E-013   1.552650E-010   1.552650E-010   3.813716E-007
   7.561440E-001   4.248000E-003   1.455559E-013   1.552644E-010   1.552644E-010   3.813699E-007
   7.646880E-001   4.272000E-003   1.455553E-013   1.552637E-010   1.552637E-010   3.813682E-007
   7.732800E-001   4.296000E-003   1.455546E-013   1.552630E-010   1.552630E-010   3.813665E-007
   7.819200E-001   4.320000E-003   1.455540E-013   1.552623E-010   1.552623E-010   3.813649E-007
   7.906080E-001   4.344000E-003   1.455534E-013   1.552616E-010   1.552616E-010   3.813632E-007
   7.993440E-001   4.368000E-003   1.455527E-013   1.552609E-010   1.552609E-010   3.813615E-007
   8.081280E-001   4.392000E-003   1.455521E-013   1.552603E-010   1.552603E-010   3.813599E-007
   8.169600E-001   4.416000E-003   1.455515E-013   1.552596E-010   1.552596E-010   3.813582E-007
   8.258400E-001   4.440000E-003   1.455508E-013   1.552589E-010   1.552589E-010   3.813565E-007
   8.347680E-001   4.464000E-003   1.455502E-013   1.552582E-010   1.552582E-010   3.813548E-007
   8.437440E-001   4.488000E-003   1.455495E-013   1.552575E-010   1.552575E-010   3.813532E-007
   8.527680E-001   4.512000E-003   1.455489E-013   1.552569E-010   1.552569E-010   3.813515E-007
   8.618400E-001   4.536000E-003   1.455483E-013   1.552562E-010   1.552562E-010   3.813498E-007
   8.709600E-001   4.560000E-003   1.455476E-013   1.552555E-010   1.552555E-010   3.813481E-007
   8.801280E-001   4.584000E-003   1.455470E-013   1.552548E-010   1.552548E-010   3.813465E-007
   8.893440E-001   4.608000E-003   1.455463E-013   1.552541E-010   1.552541E-010   3.813448E-007
   8.986080E-001   4.632000E-003   1.455457E-013   1.552535E-010   1.552535E-010   3.813431E-007
   9.079200E-001   4.656000E-003   1.455451E-013   1.552528E-010   1.552528E-010   3.813415E-007
   9.172800E-001   4.680000E-003   1.455444E-013   1.552521E-010   1.552521E-010   3.813398E-007
   9.266880E-001   4.704000E-003   1.455438E-013   1.552514E-010   1.552514E-010   3.813381E-007
   9.361440E-001   4.728000E-003   1.455432E-013   1.552507E-010   1.552507E-010   3.813364E-007
   9.456480E-001   4.752000E-003   1.455425E-013   1.552501E-010   1.552501E-010   3.813348E-007
   9.552000E-001   4.776000E-003   1.455419E-013   1.552494E-010   1.552494E-010   3.813331E-007
   9.648000E-001   4.800000E-003   1.455412E-013   1.552487E-010   1.552487E-010   3.813314E-007
   9.744480E-001   4.824000E-003   1.455406E-013   1.552480E-010   1.552480E-010   3.813298E-007
   9.841440E-001   4.848000E-003   1.455400E-013   1.552473E-010   1.552473E-010   3.813281E-007
   9.938880E-001   4.872000E-003   1.455393E-013   1.552467E-010   1.552467E-010   3.813264E-007
   1.003680E+000   4.896000E-003   1.455387E-013   1.552460E-010   1.552460E-010   3.813247E-007
   1.013520E+000   4.920000E-003   1.455380E-013   1.552453E-010   1.552453E-010   3.813231E-007
   1.023408E+000   4.944000E-003   1.455374E-013   1.552446E-010   1.552446E-010   3.813214E-007
   1.033344E+000   4.968000E-003   1.455368E-013   1.552439E-010   1.552439E-010   3.813197E-007
   1.043328E+000   4.992000E-003   1.455361E-013   1.552432E-010   1.552432E-010   3.813180E-007
   1.053360E+000   5.016000E-003   1.455355E-013   1.552426E-010   1.552426E-010   3.813164E-007
   1.063440E+000   5.040000E-003   1.455349E-013   1.552419E-010   1.552419E-010   3.813147E-007
   1.073568E+000   5.064000E-003   1.455342E-013   1.552412E-010   1.552412E-010   3.813130E-007
   1.083744E+000   5.088000E-003   1.455336E-013   1.552405E-010   1.552405E-010   3.813114E-007
   1.093968E+000   5.112000E-003   1.455329E-013   1.552398E-010   1.552398E-010   3.813097E-007
   1.104240E+000   5.136000E-003   1.455323E-013   1.552392E-010   1.552392E-010   3.813080E-007
   1.114560E+000   5.160000E-003   1.455317E-013   1.552385E-010   1.552385E-010   3.813063E-007
   1.124928E+000   5.184000E-003   1.455310E-013   1.552378E-010   1.552378E-010   3.813047E-007
   1.135344E+000   5.208000E-003   1.455304E-013   1.552371E-010   1.552371E-010   3.813030E-007
   1.145808E+000   5.232000E-003   1.455298E-013   1.552364E-010   1.552364E-010   3.813013E-007
   1.156320E+000   5.256000E-003   1.455291E-013   1.552358E-010   1.552358E-010   3.812996E-007
   1.166880E+000   5.280000E-003   1.455285E-013   1.552351E-010   1.552351E-010   3.812980E-007
   1.177488E+000   5.304000E-003   1.455278E-013   1.552344E-010   1.552344E-010   3.812963E-007
   1.188144E+000   5.328000E-003   1.455272E-013   1.552337E-010   1.552337E-010   3.812946E-007
   1.198848E+000   5.352000E-003   1.455266E-013   1.552330E-010   1.552330E-010   3.812930E-007
   1.209600E+000   5.376000E-003   1.455259E-013   1.552324E-010   1.552324E-010   3.812913E-007
