 #mass            theta           
   0.00000030000   0.10000000000
  #Global X        distance        pnn             pmn             pnm             pmm             
   3.484800E-001   2.880000E-003   7.030295E-008   7.428111E-007   7.428111E-007   1.791317E-005
   3.542880E-001   2.904000E-003   6.721479E-008   7.101821E-007   7.101821E-007   1.712631E-005
   3.601440E-001   2.928000E-003   6.426228E-008   6.789863E-007   6.789863E-007   1.637401E-005
   3.660480E-001   2.952000E-003   6.143947E-008   6.491608E-007   6.491608E-007   1.565476E-005
   3.720000E-001   2.976000E-003   5.874065E-008   6.206455E-007   6.206455E-007   1.496710E-005
   3.780000E-001   3.000000E-003   5.616038E-008   5.933827E-007   5.933827E-007   1.430965E-005
   3.840480E-001   3.024000E-003   5.369346E-008   5.673175E-007   5.673175E-007   1.368108E-005
   3.901440E-001   3.048000E-003   5.133489E-008   5.423973E-007   5.423973E-007   1.308012E-005
   3.962880E-001   3.072000E-003   4.907993E-008   5.185717E-007   5.185717E-007   1.250555E-005
   4.024800E-001   3.096000E-003   4.692402E-008   4.957927E-007   4.957927E-007   1.195623E-005
   4.087200E-001   3.120000E-003   4.486282E-008   4.740143E-007   4.740143E-007   1.143103E-005
   4.150080E-001   3.144000E-003   4.289215E-008   4.531925E-007   4.531925E-007   1.092891E-005
   4.213440E-001   3.168000E-003   4.100805E-008   4.332854E-007   4.332854E-007   1.044884E-005
   4.277280E-001   3.192000E-003   3.920672E-008   4.142527E-007   4.142527E-007   9.989861E-006
   4.341600E-001   3.216000E-003   3.748450E-008   3.960560E-007   3.960560E-007   9.551042E-006
   4.406400E-001   3.240000E-003   3.583794E-008   3.786587E-007   3.786587E-007   9.131498E-006
   4.471680E-001   3.264000E-003   3.426371E-008   3.620255E-007   3.620255E-007   8.730384E-006
   4.537440E-001   3.288000E-003   3.275863E-008   3.461230E-007   3.461230E-007   8.346889E-006
   4.603680E-001   3.312000E-003   3.131966E-008   3.309191E-007   3.309191E-007   7.980240E-006
   4.670400E-001   3.336000E-003   2.994389E-008   3.163830E-007   3.163830E-007   7.629696E-006
   4.737600E-001   3.360000E-003   2.862856E-008   3.024854E-007   3.024854E-007   7.294551E-006
   4.805280E-001   3.384000E-003   2.737101E-008   2.891983E-007   2.891983E-007   6.974127E-006
   4.873440E-001   3.408000E-003   2.616870E-008   2.764948E-007   2.764948E-007   6.667778E-006
   4.942080E-001   3.432000E-003   2.501920E-008   2.643494E-007   2.643494E-007   6.374886E-006
   5.011200E-001   3.456000E-003   2.392020E-008   2.527375E-007   2.527375E-007   6.094860E-006
   5.080800E-001   3.480000E-003   2.286947E-008   2.416356E-007   2.416356E-007   5.827135E-006
